Возраст;Субъект;Пол;Тип;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
20-24 лет;    Южный федеральный округ;Оба пола;городское население;;;;;;;;;;;;;;;;;;;;;;1,1;1,1;1;1,1;1;0,9;0,8;0,7;0,8;0,8;0,8
20-24 лет;    Южный федеральный округ;Оба пола;сельское население;;;;;;;;;;;;;;;;;;;;;;1,7;1,6;1,6;1,6;1,4;1,1;1;0,9;1;0,9;1
25-29 лет;    Южный федеральный округ;Женщины;все население;;;;;;;;;;;;;;;;;;;;;;1;0,8;0,8;0,8;0,7;0,7;0,6;0,6;0,5;0,6;0,7
25-29 лет;    Южный федеральный округ;Женщины;городское население;;;;;;;;;;;;;;;;;;;;;;0,9;0,8;0,8;0,7;0,7;0,7;0,6;0,6;0,5;0,6;0,6
25-29 лет;    Южный федеральный округ;Женщины;сельское население;;;;;;;;;;;;;;;;;;;;;;1,2;0,9;0,8;1;0,7;0,8;0,6;0,7;0,5;0,7;0,8
25-29 лет;    Южный федеральный округ;Мужчины;все население;;;;;;;;;;;;;;;;;;;;;;3,2;2,9;2,8;2,9;2,5;2,4;2;1,8;1,6;1,7;1,7
25-29 лет;    Южный федеральный округ;Мужчины;городское население;;;;;;;;;;;;;;;;;;;;;;3,1;2,8;2,6;2,8;2,4;2,4;1,9;1,7;1,6;1,6;1,6
25-29 лет;    Южный федеральный округ;Мужчины;сельское население;;;;;;;;;;;;;;;;;;;;;;3,3;3,1;3,1;3,1;2,7;2,5;2,1;1,8;1,6;1,9;1,8
25-29 лет;    Южный федеральный округ;Оба пола;все население;;;;;;;;;;;;;;;;;;;;;;2,1;1,9;1,8;1,8;1,6;1,6;1,3;1,2;1,1;1,2;1,2
25-29 лет;    Южный федеральный округ;Оба пола;городское население;;;;;;;;;;;;;;;;;;;;;;2;1,7;1,7;1,7;1,5;1,6;1,2;1,1;1,1;1,1;1,1
25-29 лет;    Южный федеральный округ;Оба пола;сельское население;;;;;;;;;;;;;;;;;;;;;;2,2;2,1;2;2,1;1,8;1,7;1,4;1,3;1,1;1,3;1,4
30-34 лет;    Южный федеральный округ;Женщины;все население;;;;;;;;;;;;;;;;;;;;;;1,5;1,4;1,3;1,3;1,1;1,3;1,1;1;1;1;1,2
30-34 лет;    Южный федеральный округ;Женщины;городское население;;;;;;;;;;;;;;;;;;;;;;1,5;1,3;1,2;1,2;1,1;1,2;1;0,9;1;0,9;1,1
30-34 лет;    Южный федеральный округ;Женщины;сельское население;;;;;;;;;;;;;;;;;;;;;;1,6;1,5;1,4;1,5;1,3;1,3;1,2;1,1;1;1,1;1,4
30-34 лет;    Южный федеральный округ;Мужчины;все население;;;;;;;;;;;;;;;;;;;;;;4,9;4,6;4,4;4,5;4;3,8;3,3;3,1;3;3;3,2
30-34 лет;    Южный федеральный округ;Мужчины;городское население;;;;;;;;;;;;;;;;;;;;;;4,9;4,6;4,4;4,4;4,1;3,9;3,3;3,1;3,1;3,1;3,2
30-34 лет;    Южный федеральный округ;Мужчины;сельское население;;;;;;;;;;;;;;;;;;;;;;4,9;4,4;4,4;4,6;4;3,6;3,4;3;2,9;3;3,1
30-34 лет;    Южный федеральный округ;Оба пола;все население;;;;;;;;;;;;;;;;;;;;;;3,2;2,9;2,8;2,9;2,6;2,5;2,2;2;2;2;2,2
30-34 лет;    Южный федеральный округ;Оба пола;городское население;;;;;;;;;;;;;;;;;;;;;;3,2;2,9;2,8;2,8;2,5;2,6;2,1;2;2;2;2,1
30-34 лет;    Южный федеральный округ;Оба пола;сельское население;;;;;;;;;;;;;;;;;;;;;;3,3;3;2,9;3,1;2,7;2,5;2,3;2,1;2;2,1;2,3
35-39 лет;    Южный федеральный округ;Женщины;все население;;;;;;;;;;;;;;;;;;;;;;2,1;2;1,9;2;2;2;1,8;1,8;1,6;1,8;2
35-39 лет;    Южный федеральный округ;Женщины;городское население;;;;;;;;;;;;;;;;;;;;;;2,2;2;2;1,9;1,9;2;1,7;1,7;1,6;1,7;1,8
35-39 лет;    Южный федеральный округ;Женщины;сельское население;;;;;;;;;;;;;;;;;;;;;;2;2;1,9;2,1;2,1;2,1;1,8;1,9;1,7;2;2,3
35-39 лет;    Южный федеральный округ;Мужчины;все население;;;;;;;;;;;;;;;;;;;;;;6,7;6,3;6;6,2;6,2;6;5,3;5;4,8;5;5,3
35-39 лет;    Южный федеральный округ;Мужчины;городское население;;;;;;;;;;;;;;;;;;;;;;6,8;6,3;6,1;6,1;6,3;6,3;5,6;5,2;4,9;5,1;5,4
35-39 лет;    Южный федеральный округ;Мужчины;сельское население;;;;;;;;;;;;;;;;;;;;;;6,5;6,3;5,9;6,4;6,1;5,6;4,9;4,6;4,6;4,8;5,2
35-39 лет;    Южный федеральный округ;Оба пола;все население;;;;;;;;;;;;;;;;;;;;;;4,4;4,1;3,9;4;4;4;3,5;3,4;3,2;3,4;3,6
35-39 лет;    Южный федеральный округ;Оба пола;городское население;;;;;;;;;;;;;;;;;;;;;;4,4;4,1;3,9;3,9;4;4,1;3,6;3,4;3,2;3,4;3,5
35-39 лет;    Южный федеральный округ;Оба пола;сельское население;;;;;;;;;;;;;;;;;;;;;;4,3;4,1;3,9;4,2;4,1;3,8;3,4;3,3;3,2;3,4;3,8
40-44 лет;    Южный федеральный округ;Женщины;все население;;;;;;;;;;;;;;;;;;;;;;2,8;2,6;2,8;2,6;2,8;2,7;2,5;2,5;2,4;2,6;3,1
40-44 лет;    Южный федеральный округ;Женщины;городское население;;;;;;;;;;;;;;;;;;;;;;2,8;2,6;2,8;2,7;2,8;2,7;2,5;2,4;2,4;2,6;3
40-44 лет;    Южный федеральный округ;Женщины;сельское население;;;;;;;;;;;;;;;;;;;;;;2,8;2,6;2,7;2,5;2,7;2,6;2,3;2,5;2,3;2,7;3,4
40-44 лет;    Южный федеральный округ;Мужчины;все население;;;;;;;;;;;;;;;;;;;;;;8,6;8;7,4;7,7;7,6;7,8;7,2;7,1;7;7,5;8,3
40-44 лет;    Южный федеральный округ;Мужчины;городское население;;;;;;;;;;;;;;;;;;;;;;8,5;7,9;7,5;7,8;7,7;8;7,3;7,4;7,1;7,6;8,4
40-44 лет;    Южный федеральный округ;Мужчины;сельское население;;;;;;;;;;;;;;;;;;;;;;8,6;8;7,3;7,6;7,6;7,4;7;6,7;6,7;7,5;8
40-44 лет;    Южный федеральный округ;Оба пола;все население;;;;;;;;;;;;;;;;;;;;;;5,6;5,2;5;5,1;5,1;5,1;4,7;4,7;4,6;5;5,6
40-44 лет;    Южный федеральный округ;Оба пола;городское население;;;;;;;;;;;;;;;;;;;;;;5,5;5,1;5;5,1;5,1;5,2;4,8;4,8;4,7;5;5,6
40-44 лет;    Южный федеральный округ;Оба пола;сельское население;;;;;;;;;;;;;;;;;;;;;;5,7;5,3;5;5;5,1;5;4,7;4,6;4,5;5,1;5,7
45-49 лет;    Южный федеральный округ;Женщины;все население;;;;;;;;;;;;;;;;;;;;;;3,9;3,6;3,4;3,6;3,5;3,5;3,3;3,4;3,3;3,9;4,5
45-49 лет;    Южный федеральный округ;Женщины;городское население;;;;;;;;;;;;;;;;;;;;;;3,8;3,6;3,4;3,6;3,5;3,5;3,3;3,4;3,4;3,8;4,4
45-49 лет;    Южный федеральный округ;Женщины;сельское население;;;;;;;;;;;;;;;;;;;;;;3,9;3,5;3,4;3,6;3,6;3,5;3,3;3,4;3,2;4;4,7
45-49 лет;    Южный федеральный округ;Мужчины;все население;;;;;;;;;;;;;;;;;;;;;;12,1;11,1;10,5;10,6;10,2;10,3;9,3;9,2;9,3;10,2;11,2
45-49 лет;    Южный федеральный округ;Мужчины;городское население;;;;;;;;;;;;;;;;;;;;;;12,5;11,3;10,8;11;10,3;10,5;9,4;9,5;9,5;10,5;11,6
45-49 лет;    Южный федеральный округ;Мужчины;сельское население;;;;;;;;;;;;;;;;;;;;;;11,6;10,8;10;10;10;9,9;9;8,6;9;9,7;10,5
45-49 лет;    Южный федеральный округ;Оба пола;все население;;;;;;;;;;;;;;;;;;;;;;7,8;7,1;6,8;6,9;6,7;6,7;6,2;6,2;6,2;6,9;7,7
45-49 лет;    Южный федеральный округ;Оба пола;городское население;;;;;;;;;;;;;;;;;;;;;;7,8;7,2;6,8;7;6,7;6,8;6,2;6,3;6,3;7;7,8
45-49 лет;    Южный федеральный округ;Оба пола;сельское население;;;;;;;;;;;;;;;;;;;;;;7,7;7,1;6,6;6,8;6,8;6,6;6,1;6;6;6,8;7,5
50-54 лет;    Южный федеральный округ;Женщины;все население;;;;;;;;;;;;;;;;;;;;;;5,4;4,8;4,8;4,8;4,9;4,9;4,5;4,6;4,6;5,4;6,5
50-54 лет;    Южный федеральный округ;Женщины;городское население;;;;;;;;;;;;;;;;;;;;;;5,3;4,8;4,9;4,9;4,9;4,9;4,5;4,6;4,6;5,4;6,5
50-54 лет;    Южный федеральный округ;Женщины;сельское население;;;;;;;;;;;;;;;;;;;;;;5,5;4,9;4,5;4,8;4,9;5;4,5;4,5;4,6;5,5;6,5
50-54 лет;    Южный федеральный округ;Мужчины;все население;;;;;;;;;;;;;;;;;;;;;;16,1;15,2;14,4;14,4;14,3;15;13,4;13,1;12,9;14,4;15,4
50-54 лет;    Южный федеральный округ;Мужчины;городское население;;;;;;;;;;;;;;;;;;;;;;16,5;15,5;15;14,7;14,6;15,8;14,1;13,8;13,2;14,6;15,7
50-54 лет;    Южный федеральный округ;Мужчины;сельское население;;;;;;;;;;;;;;;;;;;;;;15,5;14,7;13,6;13,9;13,9;14;12,5;12,1;12,6;14,1;15,1
50-54 лет;    Южный федеральный округ;Оба пола;все население;;;;;;;;;;;;;;;;;;;;;;10,3;9,6;9,2;9,2;9,3;9,6;8,6;8,5;8,5;9,6;10,7
50-54 лет;    Южный федеральный округ;Оба пола;городское население;;;;;;;;;;;;;;;;;;;;;;10,3;9,6;9,4;9,3;9,3;9,8;8,8;8,8;8,5;9,6;10,7
50-54 лет;    Южный федеральный округ;Оба пола;сельское население;;;;;;;;;;;;;;;;;;;;;;10,4;9,6;8,9;9,2;9,2;9,3;8,3;8,2;8,5;9,7;10,7
55-59 лет;    Южный федеральный округ;Женщины;все население;;;;;;;;;;;;;;;;;;;;;;7,8;7;7,2;7,2;7;7,1;6,7;6,6;6,7;7,9;10,3
55-59 лет;    Южный федеральный округ;Женщины;городское население;;;;;;;;;;;;;;;;;;;;;;7,6;6,9;7,1;7;6,9;7,1;6,6;6,5;6,6;7,9;10,1
55-59 лет;    Южный федеральный округ;Женщины;сельское население;;;;;;;;;;;;;;;;;;;;;;8,1;7,2;7,4;7,4;7;7;6,8;6,7;6,9;8;10,6
55-59 лет;    Южный федеральный округ;Мужчины;все население;;;;;;;;;;;;;;;;;;;;;;22,6;21,3;20,5;20,6;20,2;19,8;18,7;18,6;18,7;20,6;23,5
55-59 лет;    Южный федеральный округ;Мужчины;городское население;;;;;;;;;;;;;;;;;;;;;;22,7;21,9;21,3;21;20,9;20,5;19,3;19,3;19,4;21,2;24,4
55-59 лет;    Южный федеральный округ;Мужчины;сельское население;;;;;;;;;;;;;;;;;;;;;;22,5;20,4;19,3;20,1;19,2;18,9;17,9;17,6;17,6;19,7;22,3
55-59 лет;    Южный федеральный округ;Оба пола;все население;;;;;;;;;;;;;;;;;;;;;;14,3;13,3;13,1;13,1;12,8;12,7;12;11,9;12,1;13,6;16,2
55-59 лет;    Южный федеральный округ;Оба пола;городское население;;;;;;;;;;;;;;;;;;;;;;14;13,3;13,1;13;12,9;12,8;12;12;12,1;13,7;16,3
55-59 лет;    Южный федеральный округ;Оба пола;сельское население;;;;;;;;;;;;;;;;;;;;;;14,8;13,3;12,9;13,3;12,8;12,6;12;11,8;12;13,5;16,1
5-9 лет;    Южный федеральный округ;Женщины;все население;;;;;;;;;;;;;;;;;;;;;;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,1;0,1;0,1
5-9 лет;    Южный федеральный округ;Женщины;городское население;;;;;;;;;;;;;;;;;;;;;;0,2;0,2;0,2;0,1;0,2;0,2;0,2;0,2;0,1;0,1;0,1
5-9 лет;    Южный федеральный округ;Женщины;сельское население;;;;;;;;;;;;;;;;;;;;;;0,2;0,3;0,2;0,2;0,2;0,1;0,2;0,2;0,1;0,1;0,1
5-9 лет;    Южный федеральный округ;Мужчины;все население;;;;;;;;;;;;;;;;;;;;;;0,4;0,4;0,3;0,3;0,3;0,2;0,2;0,2;0,2;0,2;0,2
5-9 лет;    Южный федеральный округ;Мужчины;городское население;;;;;;;;;;;;;;;;;;;;;;0,3;0,4;0,3;0,3;0,3;0,2;0,2;0,2;0,2;0,2;0,2
5-9 лет;    Южный федеральный округ;Мужчины;сельское население;;;;;;;;;;;;;;;;;;;;;;0,4;0,5;0,3;0,4;0,3;0,3;0,2;0,2;0,2;0,2;0,2
5-9 лет;    Южный федеральный округ;Оба пола;все население;;;;;;;;;;;;;;;;;;;;;;0,3;0,3;0,3;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2
5-9 лет;    Южный федеральный округ;Оба пола;городское население;;;;;;;;;;;;;;;;;;;;;;0,3;0,3;0,3;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2
5-9 лет;    Южный федеральный округ;Оба пола;сельское население;;;;;;;;;;;;;;;;;;;;;;0,3;0,4;0,3;0,3;0,3;0,2;0,2;0,2;0,2;0,2;0,1
60-64 лет;    Южный федеральный округ;Женщины;все население;;;;;;;;;;;;;;;;;;;;;;11,6;10,7;10,4;10,5;10,4;10,2;9,8;9,9;9,5;11,8;15,9
60-64 лет;    Южный федеральный округ;Женщины;городское население;;;;;;;;;;;;;;;;;;;;;;11,1;10,6;10,3;10,4;10,2;10,1;9,6;9,6;9,5;11,8;16,1
60-64 лет;    Южный федеральный округ;Женщины;сельское население;;;;;;;;;;;;;;;;;;;;;;12,5;10,8;10,7;10,8;10,9;10,3;10,2;10,3;9,5;11,8;15,7
60-64 лет;    Южный федеральный округ;Мужчины;все население;;;;;;;;;;;;;;;;;;;;;;32,2;30,4;29,9;29,6;29,2;29,1;27,5;27,9;27,5;31,6;34,4
60-64 лет;    Южный федеральный округ;Мужчины;городское население;;;;;;;;;;;;;;;;;;;;;;32;30,6;29,9;29,6;29,4;30;27,9;28,5;28,2;32,9;35,6
60-64 лет;    Южный федеральный округ;Мужчины;сельское население;;;;;;;;;;;;;;;;;;;;;;32,4;29,9;29,8;29,5;28,9;27,8;26,9;27;26,5;29,9;32,7
60-64 лет;    Южный федеральный округ;Оба пола;все население;;;;;;;;;;;;;;;;;;;;;;20,2;18,9;18,6;18,5;18,3;18,1;17,2;17,4;17,1;20,2;23,8
60-64 лет;    Южный федеральный округ;Оба пола;городское население;;;;;;;;;;;;;;;;;;;;;;19,7;18,8;18,3;18,2;18;18,1;16,9;17,2;17;20,3;24,1
60-64 лет;    Южный федеральный округ;Оба пола;сельское население;;;;;;;;;;;;;;;;;;;;;;21,3;19,2;19,2;19,1;18,9;18,1;17,6;17,8;17,1;20;23,4
65-69 лет;    Южный федеральный округ;Женщины;все население;;;;;;;;;;;;;;;;;;;;;;17,9;16,3;16;16,1;16,3;16,5;15,4;15,4;14,8;18;24,8
65-69 лет;    Южный федеральный округ;Женщины;городское население;;;;;;;;;;;;;;;;;;;;;;17,1;15,7;15,7;15,8;15,9;16,1;15,4;15,1;14,6;17,7;25
65-69 лет;    Южный федеральный округ;Женщины;сельское население;;;;;;;;;;;;;;;;;;;;;;19,5;17,6;16,8;16,7;17,1;17,2;15,4;16;15,2;18,4;24,5
65-69 лет;    Южный федеральный округ;Мужчины;все население;;;;;;;;;;;;;;;;;;;;;;42;39,8;38,5;38,9;38,8;39,3;37,3;37,4;37,8;44,7;51,7
65-69 лет;    Южный федеральный округ;Мужчины;городское население;;;;;;;;;;;;;;;;;;;;;;41,5;39,5;38,4;38,7;39,1;40;37,5;37,4;38,5;45,8;53,9
65-69 лет;    Южный федеральный округ;Мужчины;сельское население;;;;;;;;;;;;;;;;;;;;;;43,1;40,3;38,8;39,1;38,4;38;37,1;37,5;36,8;42,9;48,6
65-69 лет;    Южный федеральный округ;Оба пола;все население;;;;;;;;;;;;;;;;;;;;;;27,1;25,5;24,9;25,1;25,2;25,5;24;24,1;23,9;28,5;35,4
65-69 лет;    Южный федеральный округ;Оба пола;городское население;;;;;;;;;;;;;;;;;;;;;;26,3;24,8;24,5;24,7;24,9;25,3;23,8;23,6;23,7;28,3;35,8
65-69 лет;    Южный федеральный округ;Оба пола;сельское население;;;;;;;;;;;;;;;;;;;;;;28,6;26,6;25,8;26;25,9;25,8;24,4;25;24,3;28,7;34,6
70-74 лет;    Южный федеральный округ;Женщины;все население;;;;;;;;;;;;;;;;;;;;;;31,1;30,5;29,6;29,1;28,6;27,2;25,1;24;24;29,6;39
70-74 лет;    Южный федеральный округ;Женщины;городское население;;;;;;;;;;;;;;;;;;;;;;30,3;29,4;29;28,2;27,5;26,4;24,1;23,7;23,7;29;39,5
70-74 лет;    Южный федеральный округ;Женщины;сельское население;;;;;;;;;;;;;;;;;;;;;;32,5;32,2;30,6;30,6;30,3;28,5;26,9;24,6;24,6;30,6;38
70-74 лет;    Южный федеральный округ;Мужчины;все население;;;;;;;;;;;;;;;;;;;;;;62,5;62,3;59,9;58,8;57,2;55,5;51,4;48,9;50,9;62;72,6
70-74 лет;    Южный федеральный округ;Мужчины;городское население;;;;;;;;;;;;;;;;;;;;;;61,3;61,2;59;58,5;55,7;54,5;51,4;49,2;51,3;63,2;75
70-74 лет;    Южный федеральный округ;Мужчины;сельское население;;;;;;;;;;;;;;;;;;;;;;64,4;63,8;61,4;59,4;59,6;57;51,5;48,5;50,4;60,1;68,7
70-74 лет;    Южный федеральный округ;Оба пола;все население;;;;;;;;;;;;;;;;;;;;;;42,1;41,5;40;39,3;38,4;37,1;34,5;33,1;33,9;41,4;51,3
70-74 лет;    Южный федеральный округ;Оба пола;городское население;;;;;;;;;;;;;;;;;;;;;;40,9;40,2;39,1;38,5;37,2;36,2;33,8;32,8;33,5;41,2;52
70-74 лет;    Южный федеральный округ;Оба пола;сельское население;;;;;;;;;;;;;;;;;;;;;;43,9;43,4;41,3;40,6;40,6;38,6;35,9;33,6;34,4;41,9;49,8
75-79 лет;    Южный федеральный округ;Женщины;все население;;;;;;;;;;;;;;;;;;;;;;52,9;51,6;48,2;49,5;49,2;49,3;48,6;47,3;46,2;53;64,6
75-79 лет;    Южный федеральный округ;Женщины;городское население;;;;;;;;;;;;;;;;;;;;;;52;50,9;48,3;48,5;48,4;48,1;47,7;46,7;45,8;52,9;65,4
75-79 лет;    Южный федеральный округ;Женщины;сельское население;;;;;;;;;;;;;;;;;;;;;;54,5;52,8;48,2;51,2;50,7;51,1;50;48,4;46,8;53,3;63,3
75-79 лет;    Южный федеральный округ;Мужчины;все население;;;;;;;;;;;;;;;;;;;;;;87,7;84,1;80,8;82,1;83,9;83,2;82;77,7;77,1;90,6;102
75-79 лет;    Южный федеральный округ;Мужчины;городское население;;;;;;;;;;;;;;;;;;;;;;85,5;84;78,6;81,4;83;82,9;79,8;76,8;77,5;91,6;104
75-79 лет;    Южный федеральный округ;Мужчины;сельское население;;;;;;;;;;;;;;;;;;;;;;91,2;84,1;84,2;83;85,2;83,7;85,4;79;76,4;89;98,5
75-79 лет;    Южный федеральный округ;Оба пола;все население;;;;;;;;;;;;;;;;;;;;;;64,4;62,3;58,8;59,9;60,2;59,9;58,9;56,7;55,8;64,8;76,5
75-79 лет;    Южный федеральный округ;Оба пола;городское население;;;;;;;;;;;;;;;;;;;;;;62,8;61,5;57,9;58,8;59,1;58,9;57,5;55,9;55,6;64,9;77,5
75-79 лет;    Южный федеральный округ;Оба пола;сельское население;;;;;;;;;;;;;;;;;;;;;;67,1;63,5;60,3;61,8;62;61,6;61,2;58;56;64,5;74,6
80-84 года;    Южный федеральный округ;Женщины;все население;;;;;;;;;;;;;;;;;;;;;;97;94,6;92,2;91,7;89;85,2;80,5;77,8;78,8;90,9;112,4
80-84 года;    Южный федеральный округ;Женщины;городское население;;;;;;;;;;;;;;;;;;;;;;95,9;95,7;92,4;91,2;88,9;83,5;79,7;77,8;78,9;92,6;114,7
80-84 года;    Южный федеральный округ;Женщины;сельское население;;;;;;;;;;;;;;;;;;;;;;98,9;92,8;92;92,8;89;88,1;82;77,9;78,8;88,1;108,5
80-84 года;    Южный федеральный округ;Мужчины;все население;;;;;;;;;;;;;;;;;;;;;;129,1;127,4;119,7;118;114,2;112,6;108,7;106,5;107,6;132,7;152
80-84 года;    Южный федеральный округ;Мужчины;городское население;;;;;;;;;;;;;;;;;;;;;;126,2;125,6;118;115,2;111,7;110;107;105,4;108,5;136,2;158,4
80-84 года;    Южный федеральный округ;Мужчины;сельское население;;;;;;;;;;;;;;;;;;;;;;134;130,2;122,5;122,5;118,3;116,6;111,6;108,1;106,1;127,4;142,2
80-84 года;    Южный федеральный округ;Оба пола;все население;;;;;;;;;;;;;;;;;;;;;;106,3;104,2;100,3;99,5;96,5;93,3;88,8;86,1;87;102,7;123,4
80-84 года;    Южный федеральный округ;Оба пола;городское население;;;;;;;;;;;;;;;;;;;;;;104,6;104,3;99,8;98,1;95,6;91,2;87,6;85,7;87,2;104,6;126,6
80-84 года;    Южный федеральный округ;Оба пола;сельское население;;;;;;;;;;;;;;;;;;;;;;109,1;103,9;101,1;101,8;98;96,8;91;87;86,8;99,5;118,1
85 и старше;    Южный федеральный округ;Женщины;все население;;;;;;;;;;;;;;;;;;;;;;178,2;175,2;172,9;177,4;174,7;178,6;177,4;175,9;174,4;192,7;219,4
85 и старше;    Южный федеральный округ;Женщины;городское население;;;;;;;;;;;;;;;;;;;;;;176,9;175,1;176,9;178;176,1;184,4;181,8;182,2;182,3;205,4;236
85 и старше;    Южный федеральный округ;Женщины;сельское население;;;;;;;;;;;;;;;;;;;;;;180,5;175,3;165,9;176,3;172,3;168,5;169,7;165,2;161,1;171,6;192,5
85 и старше;    Южный федеральный округ;Мужчины;все население;;;;;;;;;;;;;;;;;;;;;;182,4;178,8;175;178;177,2;178,5;169,4;163,5;156,6;184;204,7
85 и старше;    Южный федеральный округ;Мужчины;городское население;;;;;;;;;;;;;;;;;;;;;;178,2;179,9;174,8;178,3;179,4;179,7;169,4;164,1;161;191,4;215,9
85 и старше;    Южный федеральный округ;Мужчины;сельское население;;;;;;;;;;;;;;;;;;;;;;191,6;176,9;175,6;177,7;173,4;176,4;169,4;162,5;149;171,7;186,4
85 и старше;    Южный федеральный округ;Оба пола;все население;;;;;;;;;;;;;;;;;;;;;;179,3;176,3;173,6;177,7;175,5;178,7;175,4;172,7;169,7;190,4;215,4
85 и старше;    Южный федеральный округ;Оба пола;городское население;;;;;;;;;;;;;;;;;;;;;;177,5;176,6;176,7;178,3;177,2;183,4;178,8;177,5;176,7;201,7;230,6
85 и старше;    Южный федеральный округ;Оба пола;сельское население;;;;;;;;;;;;;;;;;;;;;;182,8;175,7;168,1;176,7;172,6;170,5;169,6;164,5;157,8;171,6;190,9
1-4 лет;    Южный федеральный округ;Женщины;все население;;;;;;;;;;;;;;;;;;;;;;0,4;0,4;0,3;0,4;0,3;0,3;0,3;0,3;0,3;0,2;0,2
1-4 лет;    Южный федеральный округ;Женщины;городское население;;;;;;;;;;;;;;;;;;;;;;0,4;0,3;0,3;0,4;0,3;0,3;0,2;0,2;0,2;0,2;0,2
1-4 лет;    Южный федеральный округ;Женщины;сельское население;;;;;;;;;;;;;;;;;;;;;;0,3;0,4;0,3;0,4;0,4;0,3;0,3;0,3;0,4;0,3;0,2
1-4 лет;    Южный федеральный округ;Мужчины;все население;;;;;;;;;;;;;;;;;;;;;;0,6;0,5;0,5;0,5;0,4;0,4;0,4;0,3;0,3;0,3;0,3
1-4 лет;    Южный федеральный округ;Мужчины;городское население;;;;;;;;;;;;;;;;;;;;;;0,6;0,5;0,5;0,4;0,4;0,4;0,4;0,3;0,3;0,2;0,3
1-4 лет;    Южный федеральный округ;Мужчины;сельское население;;;;;;;;;;;;;;;;;;;;;;0,7;0,5;0,5;0,5;0,4;0,5;0,4;0,3;0,3;0,4;0,4
1-4 лет;    Южный федеральный округ;Оба пола;все население;;;;;;;;;;;;;;;;;;;;;;0,5;0,4;0,4;0,4;0,4;0,4;0,3;0,3;0,3;0,3;0,3
1-4 лет;    Южный федеральный округ;Оба пола;городское население;;;;;;;;;;;;;;;;;;;;;;0,5;0,4;0,4;0,4;0,3;0,3;0,3;0,2;0,2;0,2;0,3
1-4 лет;    Южный федеральный округ;Оба пола;сельское население;;;;;;;;;;;;;;;;;;;;;;0,5;0,5;0,4;0,5;0,4;0,4;0,4;0,3;0,4;0,3;0,3
0;    Центральный федеральный округ;Женщины;все население;;;;;;;;;;;;;;;;;;;;;;5,7;6,9;6,8;5,8;5,3;5;4,6;4,3;4,1;3,6;3,4
0;    Центральный федеральный округ;Женщины;городское население;;;;;;;;;;;;;;;;;;;;;;5,6;6,9;6,8;5,9;5,1;5;4,5;4,2;4,2;3,6;3,4
0;    Центральный федеральный округ;Женщины;сельское население;;;;;;;;;;;;;;;;;;;;;;6;7,1;6,7;5,5;6,5;5,4;5,1;4,4;3,8;3,9;3,2
0;    Центральный федеральный округ;Мужчины;все население;;;;;;;;;;;;;;;;;;;;;;7,4;8,7;8,4;7,1;6,6;6,2;5,6;5,3;4,6;4,1;4,6
0;    Центральный федеральный округ;Мужчины;городское население;;;;;;;;;;;;;;;;;;;;;;7,2;8,7;8,4;7,3;6,4;6,1;5,5;5,2;4,6;3,9;4,6
0;    Центральный федеральный округ;Мужчины;сельское население;;;;;;;;;;;;;;;;;;;;;;8,1;8,3;8,3;6,6;7,2;7;6;5,5;4,2;4,9;4,9
0;    Центральный федеральный округ;Оба пола;все население;;;;;;;;;;;;;;;;;;;;;;6,5;7,8;7,6;6,5;6;5,6;5,1;4,8;4,4;3,9;4
0;    Центральный федеральный округ;Оба пола;городское население;;;;;;;;;;;;;;;;;;;;;;6,4;7,8;7,6;6,6;5,8;5,5;5;4,7;4,4;3,8;4
0;    Центральный федеральный округ;Оба пола;сельское население;;;;;;;;;;;;;;;;;;;;;;7,1;7,7;7,6;6,1;6,9;6,2;5,6;4,9;4;4,4;4,1
10-14 лет;    Центральный федеральный округ;Женщины;все население;;;;;;;;;;;;;;;;;;;;;;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,1;0,2;0,2
10-14 лет;    Центральный федеральный округ;Женщины;городское население;;;;;;;;;;;;;;;;;;;;;;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,1;0,2;0,2
10-14 лет;    Центральный федеральный округ;Женщины;сельское население;;;;;;;;;;;;;;;;;;;;;;0,2;0,2;0,2;0,2;0,3;0,2;0,2;0,2;0,2;0,2;0,2
10-14 лет;    Центральный федеральный округ;Мужчины;все население;;;;;;;;;;;;;;;;;;;;;;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,2;0,3
10-14 лет;    Центральный федеральный округ;Мужчины;городское население;;;;;;;;;;;;;;;;;;;;;;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,2;0,2;0,3
10-14 лет;    Центральный федеральный округ;Мужчины;сельское население;;;;;;;;;;;;;;;;;;;;;;0,4;0,3;0,4;0,5;0,2;0,3;0,4;0,4;0,4;0,2;0,3
10-14 лет;    Центральный федеральный округ;Оба пола;все население;;;;;;;;;;;;;;;;;;;;;;0,3;0,2;0,2;0,3;0,3;0,3;0,2;0,2;0,2;0,2;0,2
