Возраст матери;Субъект;Тип;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
40-44 лет;        Кемеровская область - Кузбасс;сельское население;8,5;6,4;6,1;4,1;3,6;3,1;3,9;4,2;2,9;3,5;2,2;2,9;2,7;2,9;2,6;3,3;3;4,5;4,8;5;5,4;6,6;6,6;7,6;8,5;6,8;6,9;7,5;7,9;5,8;7,8;8,7
45-49 лет;        Кемеровская область - Кузбасс;все население;0,1;0,2;0,2;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,4;0,5;0,3;0,3;0,4;0,3;0,4
45-49 лет;        Кемеровская область - Кузбасс;городское население;0;0,2;0,2;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,1;0,2;0,2;0,2;0,2;0,4;0,5;0,3;0,3;0,4;0,3;0,3
45-49 лет;        Кемеровская область - Кузбасс;сельское население;0,4;0,5;0,3;0,3;0,4;0,5;0,1;0,2;0,2;0,1;0,2;0,1;0,1;0,1;0,1;0,2;0,1;0,1;0,2;0,1;0,3;0,1;0,2;0,2;0,3;0,3;0,4;0,4;0,4;0,3;0,3;0,5
50-54 лет;        Кемеровская область - Кузбасс;все население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50-54 лет;        Кемеровская область - Кузбасс;городское население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50-54 лет;        Кемеровская область - Кузбасс;сельское население;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0,1;0;0;0;0;0;0;0;0;0;0
15-19 лет;        Кировская область;все население;50,1;50,4;46,7;43,9;43,6;38,9;33,8;31,5;30;25,6;23,7;23;24,6;23,6;26,6;25;26,8;29,2;29,9;28,7;27,3;26,6;26,4;25,7;23,1;19,7;21,3;15,3;14;11,4;10,3;11
15-19 лет;        Кировская область;городское население;43,2;43;39;37,4;38;34,2;28,8;26,9;25,3;21,5;19,4;18,2;20,5;19,1;22,4;20,9;21,4;23,2;22,4;20,8;19,5;17,8;18,8;17,7;15,8;15,5;17;12,4;11,2;8,7;8,4;9,4
15-19 лет;        Кировская область;сельское население;74,4;75,9;71;63,7;60,6;52,9;49,2;45,8;44,9;39,2;38,5;40,5;39,5;38,6;39,8;37,4;42,9;49;58;60,4;60;64,4;58,1;56,5;50,4;35,4;38,2;27,8;26,6;24;20;19,8
20-24 лет;        Кировская область;все население;175,8;164,8;150,1;129,1;126;117,5;107,2;101;104,4;98,2;99,1;96,2;99,2;95,5;96,9;90,3;94,7;91,1;96,8;95,6;91,5;91,6;98,2;95,9;91,4;89,4;84,1;74,6;65,1;62,5;56,7;57,6
20-24 лет;        Кировская область;городское население;161,5;150,3;134,6;114,6;115,6;107,8;97,6;91,7;93,1;87,2;88,8;87;88,9;85,4;86,7;79,2;81,9;76,6;81,4;79,7;75,7;72,8;73,4;70,5;67,5;71,9;70,6;65,6;59,2;57,8;53,7;55,1
20-24 лет;        Кировская область;сельское население;210,4;201,1;190,6;169,7;157;148,5;138,5;132,3;143,9;137,2;137;131;139,2;135,4;137,3;132,8;140,9;142,1;151,2;153,5;153,3;176,4;234,6;266,5;270,3;211,8;160,8;116,1;88,2;79,2;67,1;67,1
25-29 лет;        Кировская область;все население;99,5;85,2;76,1;65,6;65,1;64,8;63,6;65,8;68;64,9;67,9;69,4;74,7;76,2;77,4;78,8;80,1;92;97;99,7;102,9;103,6;117,5;119,1;122,2;127,8;130;112;102,7;95,7;92,1;87,3
25-29 лет;        Кировская область;городское население;91,7;78;69,2;59,3;60,2;60,6;59,6;60,6;63,7;60,6;64,2;65,9;71,8;73,7;73;76,5;76,9;85,8;90,4;92,6;93,9;95,1;106,3;106,7;107,9;118,4;118,9;98,8;88,3;81,6;78,6;79,2
25-29 лет;        Кировская область;сельское население;119,8;103,5;93,2;80,7;76,8;75;74;79,9;80,3;78,3;80;81,5;85,1;85,1;94,6;87,9;92,6;116,8;123,5;129,2;141;140,9;169,6;180,8;201,4;188,2;212,1;236,7;285,5;299,2;257,9;158,2
30-34 лет;        Кировская область;все население;48;40,6;33;26,9;24,5;24,7;25,1;28,6;31,1;30;34,5;35,2;40,7;41,3;45,6;43,8;45,3;55,3;60,4;63,3;67,7;71,4;80,8;84,5;91,4;95,4;99,1;85,2;84,7;76,9;77,2;79,2
30-34 лет;        Кировская область;городское население;43,4;36;29,8;23,8;21,5;22,6;23,5;26,8;29,1;28,4;33,4;35,2;41;41;45,1;43,6;45,7;53,6;58,9;61,5;65,9;70,5;77,2;79,7;85,3;91,8;95,1;80;80;70,1;68,6;70
30-34 лет;        Кировская область;сельское население;60,7;53,2;41,8;35,5;32,7;30,3;29,3;33,3;36;33,9;37,1;35,4;39,8;42;47,4;44,5;44;61,5;66,4;70,5;74,9;75,2;97;107,9;123,2;115,8;124,7;121,6;123;145,5;188,6;250
35-39 лет;        Кировская область;все население;18,5;15,4;12,2;9,9;8,6;8,1;8,1;8,2;9,6;9,2;10,4;10,7;12,4;12,9;14,5;15,2;16,7;21,2;25,7;26,8;28,4;32,4;34,7;42,8;43,6;43,8;44,9;42,5;44,2;42;42,5;42,1
35-39 лет;        Кировская область;городское население;15,6;12,6;9,9;8,3;6,7;6,6;6,7;7,1;8,9;8,1;8,7;10;11,8;12,5;15;14,5;17;20,3;25,6;25,9;28,1;32,2;33,9;41,7;42,2;44,1;43,6;42,1;42,2;39,6;39,1;38,2
35-39 лет;        Кировская область;сельское население;27,5;24;19;14,2;13,9;12,2;12;11,3;11,4;12,1;14,9;12,4;13,8;14;13,2;17;15,9;23,8;26;29,8;29,4;33,2;37,6;47,5;49,5;42,6;51,3;44,3;56,2;58;68,7;77,1
40-44 лет;        Кировская область;все население;4,4;3,4;2,9;2,3;1,7;1,8;2,1;1,7;1,8;1,9;1,6;2;1,7;2;2,1;2,3;2,5;3,3;4,2;4,3;4,6;5,8;6,7;8,6;8,5;8,3;10,1;9,7;9,9;8,6;9,2;10,6
40-44 лет;        Кировская область;городское население;3,3;2,6;2,3;1,5;1;1,3;1,5;1,2;1,4;1,5;1,4;1,7;1,5;1,9;1,7;2,1;2,1;2,8;3,7;4,4;4,2;5,8;6,8;8,8;8,2;8,4;10;9,5;9,8;8,4;8,9;10,1
40-44 лет;        Кировская область;сельское население;8;6,2;4,9;5;3,7;3,2;4;3,3;3;3,1;2,3;2,9;2,2;2,4;3,2;2,8;3,4;4,3;5,6;3,8;5,5;5,9;6,4;7,9;9,5;7,9;10,3;10,4;10,5;9,5;10,9;13,4
45-49 лет;        Кировская область;все население;0,2;0,3;0;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0;0,1;0,1;0,1;0,1;0;0,1;0,1;0,1;0,2;0,1;0,2;0,3;0,4;0,4;0,6;0,4;0,5;0,4;0,4;0,5
45-49 лет;        Кировская область;городское население;0,2;0,1;0;0;0;0,1;0;0;0,1;0;0,1;0;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0,2;0,1;0,2;0,2;0,5;0,3;0,5;0,4;0,5;0,4;0,5;0,5
45-49 лет;        Кировская область;сельское население;0,1;0,8;0;0,1;0,1;0,2;0,2;0,2;0,3;0,1;0,1;0,1;0,3;0;0;0,3;0;0,2;0,2;0,1;0,1;0,3;0,1;0,5;0,3;0,6;0,9;0,3;0,4;0,5;0,2;0,6
50-54 лет;        Кировская область;все население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50-54 лет;        Кировская область;городское население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0
50-54 лет;        Кировская область;сельское население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15-19 лет;        Костромская область;все население;47;44,6;41;41,3;44,8;41,9;36;32,9;30,6;27,5;25,9;26,7;26,4;26,1;26,5;27,3;30,2;31,8;31,8;33;29,4;28,2;27,8;26,4;25,5;20,4;21,6;15,4;15,7;10,2;9,5;9,7
15-19 лет;        Костромская область;городское население;39,9;38;34,9;36,5;39,2;38,8;33,1;29,9;27,6;23,1;22,8;23,1;22,6;21,8;23,1;25,1;25,5;25,3;24,5;24,7;22,7;22,6;22,2;21,7;19,5;19;17,8;13,8;13,8;8,8;8,5;8,2
15-19 лет;        Костромская область;сельское население;73,7;67,7;59;53,5;58,4;49,9;43,6;40,5;38;38,6;33,9;36,2;36,5;37,3;34,6;32,4;42,3;49,6;52,3;56,1;48,1;43,6;43,4;39,6;43,2;24,6;32,5;19,9;21,2;14,3;12,6;14,8
20-24 лет;        Костромская область;все население;170,5;159,9;137;118,7;123,1;109,5;110,7;107,3;105,5;99,3;103,3;106,6;109,5;106;103,4;100,9;99,9;100,2;102,8;103,9;101,4;102,3;105,2;106,2;97,9;94,1;90,3;76;73,7;74,4;61,4;57,1
20-24 лет;        Костромская область;городское население;152,4;142,6;125,7;107,5;114,1;100,9;103,5;101,3;99,5;92,9;94,8;100,3;101,6;98;94,2;96,2;91,4;90;88,2;90;86,4;85,8;84,8;85,8;77,7;84,4;81,9;73,8;72,4;73,8;58,4;56,8
20-24 лет;        Костромская область;сельское население;219,8;208,4;167,3;148,4;147,8;133,6;130,6;123,4;121,5;116,5;126,2;123,8;131,7;128,5;129,8;114,5;124,4;129,2;143,8;143;144,1;151,3;170,2;177,3;173,3;129,9;118,8;82,9;77,4;75,9;69;58
25-29 лет;        Костромская область;все население;98,2;84,1;68,5;61,1;68,7;63,4;64,1;60,9;66,5;66,4;67,6;71,9;79,3;77,7;81,7;77,1;80;88,5;93,5;103,1;105,5;109;117,5;114,8;123,6;128,8;126,7;115,1;105,9;100,6;93,1;85,3
25-29 лет;        Костромская область;городское население;89,8;77,3;62;54,4;63,9;58,5;59,5;58,7;64,1;62,1;65,3;69,6;77,2;76,3;79,1;77,6;78,9;84,3;87,9;96,7;98,2;101,1;107,1;103,9;110,5;127,1;118,5;108,8;98,2;94,6;86,3;84,9
25-29 лет;        Костромская область;сельское население;119,5;101,1;83,5;75,4;79;74,3;75,2;66,4;72,7;77,9;73,8;78,1;85,3;81,8;89,1;75,5;83,1;100,7;110,3;123;128,5;135,4;153,2;154;173;135,6;162;144,8;145,8;133,1;127,9;87,2
30-34 лет;        Костромская область;все население;45,4;38,7;29;25,2;26;24,1;25,1;27,4;27,9;31,3;32,4;35,1;37,8;42,2;46,6;45,4;46,6;51,5;59,4;62,3;64,9;69,5;79,1;81,6;84,6;88,3;88,9;86,2;78,1;78;80,6;75,9
30-34 лет;        Костромская область;городское население;41,3;34,7;26,9;23;24,1;23,3;24,5;26,9;28,4;31,8;32,1;35,8;41,4;44,4;47,3;48,6;45,8;52,8;58,3;61,3;65,3;68,2;77,3;80;81,6;87,9;88,3;82,4;76,2;72,9;75,8;69,9
30-34 лет;        Костромская область;сельское население;56,2;49;34;30,1;30,4;25,7;26,4;28,5;26,8;30,1;33,1;33,4;28,9;36,5;44,6;36,6;49;48,1;62,4;65,4;64;73,2;84,7;87,1;95,9;89,7;91,6;104,2;87,6;104,5;106,8;112,4
35-39 лет;        Костромская область;все население;17,9;17,3;11,1;9,7;9;7,8;8,7;8,2;9,3;9,9;9;10,8;12,4;12,1;15,5;15,3;17;20,2;22,3;24;28,3;29,3;33,6;37,5;37;40,9;39,2;39,4;40,8;37,7;39,4;38,5
35-39 лет;        Костромская область;городское население;14,3;14,4;9,7;7,9;7,7;6,4;7,5;7,3;8,6;8,9;8,4;10,6;13,2;12,1;14,8;17;19,2;21;23;24,3;28,5;30,2;34,9;37,4;36;42,4;41,3;39,4;40,9;36,7;37,6;36,4
35-39 лет;        Костромская область;сельское население;28,2;25,4;14,6;13,8;11,9;10,9;11,4;10,2;10,8;12,1;10,3;11,3;10,8;12;17;11,4;11,9;18;20,4;23,5;27,7;27;29,9;38;40;36,1;32,1;39,3;40,2;41,9;47,8;49,3
40-44 лет;        Костромская область;все население;4,1;2,8;3,1;2,1;1,7;1,6;1,9;2,1;1,8;2;1,7;2;2;1,8;1,9;1,9;2,2;3;3,3;3,5;3,8;5,8;4,8;6,7;7;6,9;9,1;7,3;6,4;7,5;7,7;8,1
40-44 лет;        Костромская область;городское население;2,8;2,1;2,3;1,4;1,1;1,3;1,5;1,7;1,3;1,7;1,3;1,8;1,7;1,8;1,7;1,9;1,7;2,3;3,3;3,5;4,1;6,1;4,9;7,1;6,7;7,2;9,6;7,8;6,2;7,9;7,7;8,1
40-44 лет;        Костромская область;сельское население;8,3;4,9;5,5;3,9;3,3;2,5;2,7;3;2,7;2,7;2,3;2,5;2,6;1,9;2,5;1,9;3,3;4,3;3,1;3,7;3,1;5;4,7;5,7;7,9;6,4;7,7;5,9;6,8;6,5;7,5;8,1
45-49 лет;        Костромская область;все население;0,1;0,2;0,4;0,2;0,1;0,1;0,2;0,1;0,1;0,1;0,2;0,1;0;0,1;0,1;0;0,1;0,1;0,1;0,1;0,2;0,1;0;0,2;0,3;0,1;0,4;0,3;0,6;0,3;0,5;0,5
45-49 лет;        Костромская область;городское население;0;0,1;0,4;0,3;0,1;0,1;0,1;0,1;0,1;0;0,1;0;0;0,2;0;0;0,1;0;0;0;0,3;0,1;0,1;0;0;0,2;0,3;0,4;0,8;0,4;0,6;0,5
45-49 лет;        Костромская область;сельское население;0,5;0,3;0,3;0;0;0,2;0,4;0,3;0,1;0,3;0,2;0,2;0,1;0;0,2;0,1;0,1;0,2;0,1;0,1;0;0;0;0,6;0,9;0;0,5;0;0,2;0,2;0,3;0,5
50-54 лет;        Костромская область;все население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50-54 лет;        Костромская область;городское население;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50-54 лет;        Костромская область;сельское население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15-19 лет;        Краснодарский край;все население;70,8;71,6;68,1;62,1;63,2;58,3;49,8;44,3;40,3;35,3;33,7;33,9;32,9;34;34,6;31,6;32,9;31,5;31,6;30,7;28,2;27,1;29,1;27,1;27,3;24,6;22,4;18,7;16,1;14,8;14,3;14,6
15-19 лет;        Краснодарский край;городское население;54,3;56;52;47;48,8;43,8;37,3;32,7;28,5;24,7;22,7;23,4;22,2;24;25,1;23;24,4;22,4;22,2;21,2;19,9;20,3;23;21,7;22;20,9;19,4;15,9;13,2;12,2;12,2;11,2
15-19 лет;        Краснодарский край;сельское население;94,4;92,4;88,3;80,6;80,7;76;65,4;58,9;55,5;49,4;48,4;48;46,8;46,5;45,8;41,2;42,7;42,4;43;42,4;38,1;34,8;35,9;32,9;32,8;28,5;25,5;21,7;19;17,4;16,4;18,1
20-24 лет;        Краснодарский край;все население;171,4;159,7;150,3;132,9;132,4;122,6;113,3;104,4;103,3;96,8;100,9;100,5;99,6;99,6;99,1;92,1;91,4;93,9;97,9;96,6;93,7;91,3;96,5;94,4;95,6;96,8;94,6;90;86,7;83,1;81,3;77,8
20-24 лет;        Краснодарский край;городское население;161,9;146,8;137,2;121,4;121,3;113,4;102,9;95,4;93,1;87,8;89,9;88,7;84,6;83,9;85,5;79,2;79;80,5;84,9;83,1;78,8;79,7;84;84,3;86,3;90;93,6;91,1;86,3;86,8;88,9;79,2
20-24 лет;        Краснодарский край;сельское население;184;176,6;167,4;147,9;146,9;134,7;126,9;115,9;116,5;108,3;114,9;115,7;119,5;121,2;117,5;109,1;107,2;110,5;113,9;113,2;112,7;106,7;113,6;108,8;108,7;106,1;95,9;88,7;87;79,1;72,9;76,2
25-29 лет;        Краснодарский край;все население;94,1;87,8;78,4;68,4;70,6;71,6;67,6;65,4;64,5;64,1;68,2;73,8;78;81,8;83,6;79,4;79,8;88,7;95,9;97,5;98,5;99,9;107,7;110,9;115,8;118,6;116,7;107,4;103,4;100,6;100,5;103,8
25-29 лет;        Краснодарский край;городское население;94;87,5;75,6;66,3;69,3;70,8;66,6;64,7;62,5;62,9;67,4;72,3;76,5;80;84,5;80,5;80,4;87;93,1;94,9;96,6;102,8;111,5;116,9;120,5;127;123,9;113,8;106,9;105;113,3;112,9
25-29 лет;        Краснодарский край;сельское население;94,3;88,3;81,8;71;72,2;72,6;68,8;66,3;67;65,7;69,1;75,6;79,7;84;82,6;78,1;79;90,7;99,5;100,8;100,9;96,3;102,7;102,7;109,2;106,4;105,7;97,4;97,9;93,8;81,6;91
30-34 лет;        Краснодарский край;все население;48;43,5;37,5;31,2;31,4;30,5;29,9;30;30,7;30,2;33,8;37,2;42,2;44,4;46,2;44,8;45,5;53,3;58,7;62,4;64,1;65,4;71,5;74,6;80,4;83,6;85,3;79,4;79,4;76,3;75,6;77,5
30-34 лет;        Краснодарский край;городское население;47,5;42,8;36,9;30,5;31,8;30,7;30,8;31,2;32;31,3;36;38,4;43,4;45,4;49,5;48,3;48,4;55,1;61;64,3;65,6;71,1;78,6;82,6;88,2;93,2;95,8;87,8;87,7;83,1;84,4;81,9
30-34 лет;        Краснодарский край;сельское население;48,6;44,5;38,2;32,1;30,8;30,4;28,7;28,5;29,3;28,9;31,2;35,8;40,7;43,1;42,1;40,5;41,9;51,1;55,9;60,1;62,3;58,1;62,2;63,9;69,5;70,1;70,1;67;66,8;65,6;61,4;70
35-39 лет;        Краснодарский край;все население;18,6;16,7;14,2;12,4;11,9;11;10,9;10,2;10,7;10,2;11;12,3;14,5;15,5;16,6;16,8;17,7;20,8;23,9;25,3;27,2;29;31,8;33,7;37,6;38,8;40,3;39,6;39,9;39,5;40,5;42,2
35-39 лет;        Краснодарский край;городское население;17,9;16,4;13,6;11,7;11,7;10,9;10,6;10,6;10,9;10,6;11,4;12,8;15,7;16,7;18,2;18,8;19,9;22,6;26;26,8;29,3;32,9;36,5;38,4;43,4;45;45,7;44,6;44,8;43,7;46;45,6
35-39 лет;        Краснодарский край;сельское население;19,6;17,1;15;13,3;12,2;11,3;11,3;9,8;10,5;9,6;10,5;11,7;13,2;14,2;14,8;14,5;15,1;18,7;21,3;23,6;24,6;24,2;25,9;27,8;29,9;30,5;32,8;32,4;32,9;33,2;32,2;37
40-44 лет;        Краснодарский край;все население;3,6;3,2;2,9;2,7;2,5;2,2;2,3;2,1;2,3;2;2,3;2,3;2,5;2,4;2,9;2,8;3;3,5;3,7;4,9;4,9;5,7;5,9;6,8;7,2;7,9;7,9;8,4;8,6;8,7;9,1;9,7
40-44 лет;        Краснодарский край;городское население;3,4;2,9;2,6;2,5;2,3;2,1;2;2,2;2,2;2;2,4;2,4;2,5;2,5;3;3,1;3,1;4;4,2;5,2;5,4;6,7;6,4;7,8;8,4;8,6;9,2;9,9;10,1;10,1;10,7;10,9
40-44 лет;        Краснодарский край;сельское население;3,9;3,6;3,4;3,1;2,7;2,4;2,6;1,9;2,5;1,9;2,1;2,2;2,5;2,2;2,8;2,4;2,9;3;3,2;4,6;4,3;4,5;5,2;5,5;5,7;6,9;6,2;6,5;6,6;6,9;6,9;8
45-49 лет;        Краснодарский край;все население;0,1;0,1;0,1;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,1;0,1;0,2;0,2;0,1;0,2;0,3;0,2;0,3;0,3;0,4;0,4;0,4;0,4;0,6;0,7
45-49 лет;        Краснодарский край;городское население;0,1;0,1;0,1;0,3;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,1;0,2;0,4;0,3;0,5;0,4;0,6;0,5;0,5;0,5;0,8;0,9
45-49 лет;        Краснодарский край;сельское население;0;0,2;0,1;0,1;0,2;0,1;0,1;0,1;0;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,1;0,1;0,2;0,2;0,1;0,2;0,2;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,3;0,5
50-54 лет;        Краснодарский край;все население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0,1;0,1
50-54 лет;        Краснодарский край;городское население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0,1;0,2;0,2
50-54 лет;        Краснодарский край;сельское население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0,1;0
15-19 лет;        Красноярский край;все население;60;59,4;55,4;53,2;57;50,6;44,9;40,2;38,5;33,6;31;32,7;31,2;31,1;31,9;31,5;31,4;30,7;32,9;34,2;31,3;30,7;31,5;30,3;28,8;27,4;25,7;22,1;19,6;17,4;17,5;16,1
15-19 лет;        Красноярский край;городское население;50;51;46;45,2;49,4;44,4;39,2;34,1;31,1;27,2;24,1;25;25,1;24,5;24,9;25,1;25;23,8;25;25,2;22,3;21,8;22,9;22,7;21,4;21,6;19,2;16,3;13,9;12,4;12,9;11,9
15-19 лет;        Красноярский край;сельское население;102,1;92,2;88,6;79;81,3;70,9;64,1;61,2;64,8;57,4;58,8;65,7;56,8;56,6;57;53;51,8;53,3;59,7;66,7;66,4;67;65,2;58,7;55,2;47,5;48;42,4;40;35,5;33,9;31,6
20-24 лет;        Красноярский край;все население;151,8;141,7;126,4;114,3;121,3;113,5;107,2;98;99,8;92,5;95,3;95,5;99,1;100;98,3;91,7;91,4;92,7;94,8;94,5;92,4;90,7;95;94,5;92,6;90,8;88,3;82,8;78,4;77,5;75,2;75,1
20-24 лет;        Красноярский край;городское население;135,2;125,2;110,1;100,1;109,8;103,7;97;89,1;89,8;83,9;85,2;86,6;90,9;90,1;86,9;81,1;79,8;80,5;82,1;79,4;77;74;75,7;74,2;72;75,2;74,2;69,9;68,8;69,2;68,7;68
20-24 лет;        Красноярский край;сельское население;214,1;202,9;186,8;168,9;168,6;156,1;152,5;137,8;144;130,4;139,4;135,3;136,6;146,1;152,7;141,4;142,6;144,9;147,6;157,1;158;167,7;194,5;211;218,1;185,2;164,7;140,5;115,4;106,9;97;98,8
25-29 лет;        Красноярский край;все население;88,3;79,5;67,8;59;63,8;65;62,5;61,1;64,3;61,8;64,9;69,6;75,4;77,6;78,2;74,6;78,5;85,9;93,3;97,7;100,6;100,4;109,9;109,8;113,4;116,3;113,6;103,6;98,1;90,5;88,5;93,4
25-29 лет;        Красноярский край;городское население;80,6;70,7;60,2;52,3;60,2;60,9;58,1;56,7;60;57,7;61;66,2;72,4;75,2;76,3;72,5;76,4;81,6;90;93,8;95,8;95,8;103;102,3;104,6;110,1;106;93,9;87,9;80,9;81,1;86,6
25-29 лет;        Красноярский край;сельское население;115,5;109,6;93,5;81,2;76,2;79,4;78,9;78,5;81,9;79,1;82,3;84,5;88,8;88,4;87,1;83,9;87,4;104;107,2;114,2;121,4;120,9;140,8;144,4;155,7;149;157,1;166,9;170,6;158;135,2;129,6
30-34 лет;        Красноярский край;все население;48,1;42,4;35,3;28,4;29,2;28,1;29,3;30,1;32,6;30,8;34,1;38,1;41,9;43,3;43,3;44,3;44,2;53;60,1;63,8;67;68,3;76,3;80,1;82,3;86,1;86,9;78,5;77,4;69,8;70,1;69,3
30-34 лет;        Красноярский край;городское население;42;36,8;30,5;24,8;26,7;25,8;26,6;27,7;30,2;28,9;31,9;36,5;41,2;42,9;42,3;43,3;44;51,1;58,6;63,2;66,1;66,5;75,6;78,7;80,9;86,3;86,3;76,5;74,8;66,5;66;63,8
30-34 лет;        Красноярский край;сельское население;69,4;61,5;51,6;40,7;37,9;35,8;38,5;38,4;40,7;37,5;42,1;44,4;44,8;44,8;47,2;48,8;44,7;61,1;66,7;66,5;70,8;75,6;79,3;85,8;88,4;85,2;89,6;89;92;88,6;94,8;106,7
35-39 лет;        Красноярский край;все население;21,1;18,2;15,3;11,7;11,3;11,1;10,5;11,2;12,2;11,4;11,6;12,7;14,4;15,7;15,9;17,3;17,4;20,9;24,8;27,6;30,4;30,7;34,9;36,7;40;40,9;42;39;40,4;37,4;38,4;38,3
35-39 лет;        Красноярский край;городское население;17,9;14,9;12,4;9,6;9,8;9,7;8,9;9,4;10,3;10,2;10,2;11,7;13,1;14,8;15,1;16,6;16,9;20;23,7;27,1;30,5;30,6;34,4;36,4;39,6;42;42,2;39,1;40,5;36,9;38,1;37
35-39 лет;        Красноярский край;сельское население;32,8;30;25,5;19;16,4;15,9;15,7;17,3;18,4;15,8;16,4;16;18,7;18,8;18,5;19,9;19,3;24,7;29,4;29,8;30,1;31,3;37,1;37,9;41,7;36;40,9;38,4;39,6;39,6;40,1;45
40-44 лет;        Красноярский край;все население;5;3,7;4;2,8;2,6;2,3;2,3;2,5;2,5;2,2;2,4;2,5;2,6;2,6;2,9;2,6;2,7;3,7;4,4;4,4;5,3;6,2;7,3;7,3;7,7;8,5;8;8,1;8,9;8,4;8,2;8,4
40-44 лет;        Красноярский край;городское население;3,6;2,7;3,1;2,2;2;1,9;1,7;1,7;2;1,7;2;2;2,2;2,2;2,6;2,4;2,5;3,3;3,9;4,1;5,1;6,2;7,1;7,3;7,6;8,6;8,2;8,2;8,7;8,4;8;8,4
40-44 лет;        Красноярский край;сельское население;11,1;7,9;7,5;5,2;4,7;4;4,1;5,2;4,4;3,8;3,7;4;4,1;3,7;3,8;3,2;3,5;4,9;6,1;5,3;6,1;6;8;7,4;8,2;8,3;7,1;7,6;9,5;8,4;9;8,2
45-49 лет;        Красноярский край;все население;0,2;0,3;0,3;0,1;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,3;0,6;0,7;0,5;0,3;0,3;0,4;0,4
45-49 лет;        Красноярский край;городское население;0,1;0,2;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,2;0,4;0,7;0,8;0,5;0,3;0,2;0,5;0,4
45-49 лет;        Красноярский край;сельское население;0,5;0,7;0,9;0,4;0,3;0,3;0,4;0,2;0,2;0,2;0,2;0,2;0,3;0,1;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,1;0,3;0,2;0,3;0,3;0,5;0,3;0,5;0,2;0,6
50-54 лет;        Красноярский край;все население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0
50-54 лет;        Красноярский край;городское население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0
50-54 лет;        Красноярский край;сельское население;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0,1;0;0;0;0;0
15-19 лет;        Курганская область;все население;68;66,4;65,4;54,9;56,1;51,2;44,7;41,3;41,2;39,1;37,8;34,1;35,8;34,2;36,2;35,4;38;37,2;38,9;38,4;36,1;34,1;36,2;37,7;32;30,6;27;24,3;24,3;18,1;17,9;17,1
